Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
HBB	Sickle cell anemia β-thalassemia	AR	603903	Haematological disorders	ACMG_Carrier_Tier_1	Strong-Labcorp Genetics (formerly Invitae)
HBB	Sickle cell anemia β-thalassemia	AR	613985	Haematological disorders	ACMG_Carrier_Tier_1	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
XPC	Xeroderma pigmentosum	AR	278720	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
TYR	Oculocutaneous albinism type 1A	AR	203100	Skeletal, skin, and connective tissue disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
TYR	Oculocutaneous albinism type 1B	AR	606952	Skeletal, skin, and connective tissue disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	
CYP21A2	Congenital adrenal hyperplasia due to 21-hydroxylase deficiency	AR	201910	Endocrine disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health
PAH	Phenylketonuria	AR	261600	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CFTR	Cystic fibrosis	AR	219700	Respiratory system disorders	ACMG_Carrier_Tier_1	Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
TNXB	Ehlers–Danlos-like syndrome due to tenascin-X deficiency	AR	606408	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Illumina
HEXA	Tay–Sachs disease	AR	272800	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GJB2	Nonsyndromic hearing loss recessive 1A	AR	220290	Hearing disorders	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
GJB2	Nonsyndromic hearing loss dominant 3A	AR	601544	Hearing disorders	ACMG_Carrier_Tier_1	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
DHCR7	Smith–Lemli–Opitz syndrome	AR	270400	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATP7B	Wilson disease	AR	606882	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	
ASPA	Canavan disease	AR	271900	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency	AR	201450	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
NPHS1	Finnish congenital nephrotic syndrome	AR	256300	Renal disorders	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
PMM2	Carbohydrate-deficient glycoprotein syndrome type Ia	AR	212065	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
